sex,degree,zodiac,sexfreq,sexorient,sociability,acqmark
female,high school,cancer,2-3 per week,exclusively male,neither agree nor disagree,2-5
male,graduate,leo,once or twice,exclusively female,neither agree nor disagree,2-5
male,high school,cancer,not at all,both male and female,neither agree nor disagree,2-5
female,bachelor,pisces,weekly,exclusively male,neither agree nor disagree,2-5
male,bachelor,sagittarius,not at all,both male and female,neither agree nor disagree,2-5
female,lt high school,sagittarius,not at all,exclusively male,neither agree nor disagree,2-5
male,lt high school,capricorn,not at all,both male and female,agree,2-5
female,high school,scorpio,not at all,exclusively male,neither agree nor disagree,2-5
male,high school,virgo,weekly,exclusively female,neither agree nor disagree,2-5
female,high school,aries,not at all,exclusively male,strongly agree,2-5
male,high school,cancer,not at all,exclusively female,neither agree nor disagree,2-5
female,lt high school,libra,not at all,exclusively male,agree,2-5
female,high school,gemini,not at all,exclusively male,strongly agree,2-5
female,high school,scorpio,not at all,exclusively male,neither agree nor disagree,2-5
male,graduate,aquarius,2-3 times a month,exclusively female,neither agree nor disagree,2-5
male,high school,pisces,not at all,exclusively female,neither agree nor disagree,0
female,high school,cancer,not at all,exclusively male,neither agree nor disagree,2-5
female,bachelor,pisces,not at all,exclusively male,neither agree nor disagree,2-5
male,bachelor,aries,once or twice,exclusively female,neither agree nor disagree,0
male,lt high school,scorpio,4+ per week,exclusively female,neither agree nor disagree,2-5
male,bachelor,aquarius,2-3 times a month,exclusively female,neither agree nor disagree,2-5
female,high school,gemini,not at all,exclusively male,agree,2-5
female,graduate,virgo,2-3 per week,exclusively male,neither agree nor disagree,2-5
female,bachelor,cancer,2-3 times a month,exclusively male,neither agree nor disagree,6-10
female,high school,pisces,not at all,exclusively male,agree,2-5
female,high school,scorpio,2-3 per week,exclusively male,neither agree nor disagree,2-5
male,bachelor,aries,not at all,both male and female,neither agree nor disagree,2-5
female,bachelor,taurus,not at all,exclusively male,disagree,2-5
female,high school,libra,2-3 per week,exclusively male,neither agree nor disagree,2-5
male,bachelor,libra,2-3 per week,exclusively male,neither agree nor disagree,more than 10
male,bachelor,aries,not at all,both male and female,neither agree nor disagree,2-5
female,graduate,capricorn,not at all,exclusively male,agree,2-5
male,bachelor,aquarius,weekly,exclusively female,neither agree nor disagree,2-5
male,high school,scorpio,4+ per week,exclusively female,neither agree nor disagree,2-5
female,bachelor,scorpio,not at all,exclusively male,strongly agree,2-5
female,high school,libra,once a month,exclusively male,neither agree nor disagree,2-5
female,high school,capricorn,2-3 per week,exclusively male,neither agree nor disagree,2-5
male,lt high school,aquarius,not at all,both male and female,strongly agree,2-5
male,lt high school,pisces,not at all,both male and female,neither agree nor disagree,2-5
female,lt high school,leo,not at all,exclusively male,neither agree nor disagree,2-5
male,lt high school,libra,not at all,both male and female,neither agree nor disagree,2-5
male,high school,leo,not at all,both male and female,agree,2-5
male,high school,scorpio,once a month,exclusively female,neither agree nor disagree,1
male,lt high school,leo,not at all,both male and female,strongly disagree,2-5
female,high school,aquarius,not at all,exclusively male,strongly disagree,2-5
male,high school,aquarius,once a month,exclusively female,neither agree nor disagree,2-5
male,high school,scorpio,not at all,both male and female,neither agree nor disagree,2-5
male,junior college,scorpio,not at all,both male and female,strongly agree,2-5
male,lt high school,aquarius,not at all,both male and female,agree,2-5
male,lt high school,libra,not at all,both male and female,neither agree nor disagree,2-5
male,junior college,scorpio,not at all,both male and female,strongly agree,2-5
